country_code,COUNT
FO,2
MR,2
IM,1
RU,15792
AR,1763
TR,1801
HR,262
LK,327
CR,867
PR,4150
PK,312
BG,353
NP,50
NG,136
EE,1592
IR,1939
EU,30
JO,37
NC,21
IQ,90
ML,20
MK,13
PS,16
SN,5
ST,1
GD,1
GY,1
CH,50964
LV,1143
IN,69417
MY,3891
PL,80884
HK,19300
EC,443
ID,2834
MX,5999
RO,435
TN,457
ZA,91643
LT,1781
GI,22
MT,430
UZ,97
KH,29
SD,4
EG,567
BY,51
AD,8
VE,54
TT,5
NI,3
MW,8
BW,2
NA,3
LI,4
VG,1
ZM,2
SC,1
GB,128020
BE,232520
JP,833337
SA,1763
AT,4450
UA,1413
NZ,1029
GR,903
TW,5739
KZ,654
RW,17
ET,38
GF,30
BB,5
MD,14
KG,7
YE,3
NL,1368556
PT,4765
CN,22857
DO,317
KR,21051
AL,65
QA,76
BD,223
CD,42
ME,3
SV,13
UG,12
VC,4
BF,1
IE,1218463
DE,338647
SE,58594
PA,658
BA,55
KE,380
GT,1063
MU,160
AM,94
HU,737
IS,208
DZ,106
MG,15
PY,69
BO,31
CI,20
HN,9
CA,240049
IT,24062
AU,672750
CM,154
AE,10762
DK,2540
ZW,124
SI,353
GE,728
LY,36
CY,55
MM,7
JM,4
GA,7
CG,3
KW,1
MN,1
SG,1151565
BR,151014
FR,64828
IL,6688
CO,9147
MA,1276
CL,13108
NO,1297
OM,15
AO,11
,16
MC,4
PG,2
US,17719891
CZ,1999
VN,3230
ES,13031
PH,1601
PE,1621
TH,5030
FI,20702
SK,1014
RS,263
UY,151
LU,226
AZ,111
BH,126
LB,157
GH,62
MO,14
TG,318
